level,model_a,model_b,metric,difference_a_minus_b,ci_low,ci_high,bootstrap_samples_valid,primary_dual_component_pair
patient,ConvNeXtTiny,YOLOv8sSeg,mcc,-0.05909712796257782,-0.1033142703707716,-0.016058867777988647,2000,True
image_patient_cluster,MobileNetV3,EfficientNetB3,roc_auc,0.011806523173951367,0.0010324371867262677,0.022961591024188484,2000,False
image_patient_cluster,MobileNetV3,EfficientNetB3,auprc,0.009086495206837908,-0.006107568021401902,0.025046974068569636,2000,False
image_patient_cluster,MobileNetV3,EfficientNetB3,accuracy,0.009551098376313294,-0.008173569277108406,0.026642084304138954,2000,False
image_patient_cluster,MobileNetV3,EfficientNetB3,balanced_accuracy,0.009330082135523776,-0.009303347462698836,0.02746869522001006,2000,False
image_patient_cluster,MobileNetV3,EfficientNetB3,sensitivity,0.006160164271047264,-0.030187955504411168,0.03976988793365784,2000,False
image_patient_cluster,MobileNetV3,EfficientNetB3,specificity,0.012500000000000067,-0.0019284135135757717,0.028473317039283314,2000,False
image_patient_cluster,MobileNetV3,EfficientNetB3,precision,0.01745081872744847,-0.0026918567614629464,0.03903286683199169,2000,False
image_patient_cluster,MobileNetV3,EfficientNetB3,f1,0.010543051859300046,-0.0143677046128694,0.03499217075830601,2000,False
image_patient_cluster,MobileNetV3,EfficientNetB3,mcc,0.02089565351443823,-0.013859576702891915,0.054165509896143146,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,roc_auc,-0.014246754913464388,-0.026230523540740777,-0.0023417080108234837,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,auprc,-0.017167680172594624,-0.035408690633905796,-0.0005174342718929332,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,accuracy,-0.01002865329512892,-0.030821987400934694,0.009307393143238666,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,balanced_accuracy,-0.011650227339395691,-0.03274553497220115,0.007705503992579936,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,sensitivity,-0.03490759753593431,-0.07157862165690719,0.0,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,specificity,0.011607142857142927,-0.009268486585748293,0.032203318453634305,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,precision,0.010271143347529543,-0.016410964026821625,0.03751885119417128,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,f1,-0.01776300740651149,-0.04507332252091313,0.0073867800891132965,2000,False
image_patient_cluster,MobileNetV3,ConvNeXtTiny,mcc,-0.015785547966837732,-0.05631247326371581,0.02322343216005321,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,roc_auc,-0.006586425638016924,-0.01857410006779733,0.005512513504060511,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,auprc,-0.009350227650961274,-0.02650926032444198,0.00751863184066026,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,accuracy,-0.0372492836676217,-0.058105616534881964,-0.017250390531678643,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,balanced_accuracy,-0.0423832135523613,-0.06238399416636308,-0.022283272470989966,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,sensitivity,-0.11601642710472271,-0.15114096678368888,-0.08072692239745699,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,specificity,0.03125,0.012269938650306785,0.0498799418779715,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,precision,0.022060682207414417,-0.0007368090734323873,0.04502646830525472,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,f1,-0.059264136812465784,-0.08608217208161813,-0.03397872114880247,2000,False
image_patient_cluster,MobileNetV3,YOLOv8sSeg,mcc,-0.06504867494930844,-0.10246653530561825,-0.02596776252011668,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,roc_auc,-0.026053278087415754,-0.03853906462789694,-0.013775693690032688,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,auprc,-0.02625417537943253,-0.043264814539015026,-0.01090051173086298,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,accuracy,-0.019579751671442214,-0.03994501879699243,0.0004753134753648384,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,balanced_accuracy,-0.020980309474919467,-0.04258191027834296,0.00019484736027485487,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,sensitivity,-0.04106776180698157,-0.07574690857241197,-0.00543751640592568,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,specificity,-0.0008928571428571397,-0.02194987868424194,0.020653105353782023,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,precision,-0.007179675379918926,-0.03581536380029007,0.02096982593359404,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,f1,-0.028306059265811534,-0.0556601393878968,-0.0015545324780075352,2000,False
image_patient_cluster,EfficientNetB3,ConvNeXtTiny,mcc,-0.03668120148127596,-0.07811136604584641,0.0028580948895169963,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,roc_auc,-0.01839294881196829,-0.031199698225932306,-0.005911641208013553,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,auprc,-0.01843672285779918,-0.03664252768300483,-0.0015417751398658689,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,accuracy,-0.046800382043934996,-0.06709200391265609,-0.02579683043250481,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,balanced_accuracy,-0.051713295687885075,-0.07202800862699785,-0.03109962165994059,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,sensitivity,-0.12217659137576997,-0.15821836809381237,-0.08628257560291502,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,specificity,0.018749999999999933,-0.0017312956555171344,0.03895370544368396,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,precision,0.004609863479965948,-0.0206820142541694,0.02835652751832658,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,f1,-0.06980718867176583,-0.0961192465643701,-0.04343488883224838,2000,False
image_patient_cluster,EfficientNetB3,YOLOv8sSeg,mcc,-0.08594432846374667,-0.12369959631374527,-0.04617251554506373,2000,False
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,roc_auc,0.007660329275447464,-0.002447580735143304,0.01812419270511175,2000,True
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,auprc,0.00781745252163335,-0.006652333085736456,0.02223288123296489,2000,True
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,accuracy,-0.027220630372492782,-0.044822251970846314,-0.009675624903107026,2000,True
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,balanced_accuracy,-0.030732986212965607,-0.0478343797055935,-0.012985455485778967,2000,True
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,sensitivity,-0.0811088295687884,-0.10965335122261213,-0.05071889797675423,2000,True
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,specificity,0.019642857142857073,0.0,0.039568769112890624,2000,True
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,precision,0.011789538859884874,-0.0110231570739615,0.03531969170407313,2000,True
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,f1,-0.041501129405954296,-0.06271570360196176,-0.019703693610603434,2000,True
image_patient_cluster,ConvNeXtTiny,YOLOv8sSeg,mcc,-0.049263126982470706,-0.0830550816594802,-0.014859665911210612,2000,True
